dong,종사자수,기초생활수급자 인원_비율,65세 이상 인구 수_비율,단장기 외국인 체류자 수_비율,우체국 수_비율,편의점 수_비율,약국 24시간_비율,ATM 수_비율,응급실 수_비율,은행 수_합계_비율,인구 합계,면적(km^2),y1,y2,y3
성동구 송정동,3612.0,0.06037081012,0.1637592474,0.09615613225,0.0,12.0,1.333333333,1.333333333,0.0,0.0,10949,0.75,2.72166666647975,0.12407897346097499,0.046
성동구 용답동,5748.484848484847,0.06756011037000001,0.1717776902,0.17277950399999997,0.43290043289999997,6.0606060610000005,0.0,4.329004329,0.0,1.298701299,12685,2.31,3.7085497836691745,0.13782285777255,0.037
광진구 중곡3동,7571.666666666668,0.06711205588,0.17315517760000002,0.02273055497,0.0,28.33333333,0.0,1.6666666669999999,0.0,3.333333333,16465,0.6,6.23208333290825,0.125355853383275,0.02
광진구 중곡4동,2047.844827586207,0.04892945375,0.17461570129999998,0.019513874780000003,0.0,9.051724137999999,0.0,1.724137931,0.0,1.2931034479999999,29144,2.32,2.7028017240772497,0.12002164532445,0.044
광진구 자양4동,5319.827586206897,0.04184800803,0.1765746808,0.3084403259,0.0,25.0,0.0,5.1724137930000005,0.0,2.586206897,20909,1.16,7.506896551751749,0.1441501814152,0.019
동대문구 청량리동,6889.166666666668,0.08722998402000001,0.2679795845,0.06084935516,0.0,14.16666667,0.0,8.333333332999999,0.8333333333,4.166666667,19397,1.2,7.799166667091749,0.19084408969225003,0.024
동대문구 제기동,11439.830508474575,0.0544874202,0.2164100638,0.1556699273,0.0,25.42372881,0.0,6.7796610170000005,0.0,7.627118643999999,26630,1.18,9.44067796553175,0.15825403262245002,0.017
동대문구 전농2동,5643.023255813952,0.03871576959,0.1912705907,0.02068186574,0.0,19.76744186,0.0,9.302325581,0.0,4.651162791,19062,0.86,9.35639534859675,0.12657248981455,0.014
동대문구 답십리2동,8875.29411764706,0.04206029453,0.1917546541,0.01687447757,0.0,20.0,0.0,5.882352941000001,0.0,3.529411765,28792,0.85,7.26264705878075,0.127610217139275,0.018
동대문구 이문2동,3323.188405797101,0.045589886270000005,0.19324449649999997,0.015323923500000001,0.0,17.39130435,0.0,5.7971014489999995,0.0,0.0,20487,0.69,6.111594203101749,0.12949545354125,0.021
중랑구 면목2동,8189.6103896103905,0.06554169723999999,0.1842341241,0.015930713500000002,0.0,28.57142857,0.0,1.298701299,0.0,1.298701299,24534,0.77,5.67629870128825,0.1307483028189,0.023
중랑구 면목4동,4412.64367816092,0.08287406643999999,0.19484934329999998,0.02134903876,0.0,17.24137931,0.0,1.1494252870000001,0.0,0.0,19415,0.87,3.48074712618025,0.14308125232994998,0.041
중랑구 면목7동,3612.5,0.048228168499999995,0.1924606762,0.02067256543,0.0,15.0,0.0,2.5,0.0,2.5,22124,1.2,4.346875000000001,0.130361190828925,0.03
중랑구 중화2동,6703.960396039604,0.092871132,0.1965139052,0.03090788452,0.0,19.8019802,0.0,4.95049505,0.0,4.95049505,25530,1.01,6.9789603967375005,0.14814296319530001,0.021
중랑구 묵1동,4780.0,0.031837999080000005,0.1691716384,0.0076177223149999996,0.0,18.33333333,0.0,5.0,0.0,2.5,34864,1.2,6.297083332785,0.1102330663251625,0.018
중랑구 망우3동,4071.7391304347825,0.1046836874,0.19919062070000002,0.01490814378,0.0,13.04347826,0.0,2.173913043,0.0,1.086956522,16803,0.92,3.57228260833425,0.15215196002630002,0.043
중랑구 신내1동,4499.21875,0.04766584767,0.17382645800000002,0.009977889350000001,0.0,8.59375,0.0,1.953125,0.390625,1.171875,38665,2.56,2.73271484375,0.11831368342787502,0.043
중랑구 면목본동,9144.04761904762,0.06707829666000001,0.1755514972,0.03005829832,0.0,34.52380952,1.19047619,3.571428571,0.0,4.7619047619999995,34497,0.84,8.59136904677025,0.1273915006253,0.015
중랑구 면목3.8동,4706.134969325154,0.07030695178999999,0.1968357926,0.01719106154,0.6134969325,12.88343558,0.0,4.294478528,0.6134969325,2.45398773,25346,1.63,5.047239263546626,0.13979816957639998,0.028
중랑구 망우본동,3961.0561056105607,0.06912836767000001,0.1930586371,0.02223481207,0.33003300329999996,10.89108911,0.0,3.3003300330000003,0.33003300329999996,2.310231023,31550,3.03,4.110973597517475,0.137641156208025,0.033
성북구 돈암1동,4318.367346938776,0.03762029746,0.19308163399999997,0.014883255500000001,0.0,16.32653061,0.0,6.12244898,0.0,0.0,14859,0.49,6.11887755088,0.12677125987174998,0.021
성북구 정릉1동,4490.909090909091,0.021184608730000002,0.1663964548,0.01787954294,0.0,36.36363636,0.0,0.0,0.0,4.545454545,18504,0.44,6.849999999315001,0.1060409785847,0.015
성북구 정릉3동,1284.0970350404316,0.044877327089999995,0.2009000123,0.1207958079,0.0,3.7735849060000004,0.0,4.312668464,0.0,0.539083558,16222,3.71,3.1420485178029995,0.14298262170945003,0.046
성북구 정릉4동,1319.8083067092653,0.03117741999,0.1894658111,0.02232402029,0.0,5.431309904,0.0,1.5974440890000001,0.0,0.9584664537,25403,3.13,1.97228434477145,0.12320771148227501,0.062
성북구 장위1동,3232.857142857143,0.07574956267,0.16476140109999998,0.01390227259,0.0,21.42857143,0.0,1.428571429,0.0,4.285714286,24581,0.7,5.14464285767275,0.122467618464525,0.024
성북구 성북동,1858.3916083916085,0.023578849069999998,0.17975954239999997,0.048235561600000004,0.0,5.5944055939999995,0.0,0.6993006993,0.0,1.7482517480000002,17134,2.86,1.646328671213475,0.11731270920534997,0.071
성북구 석관동,5771.098265895955,0.04975290133,0.1973735355,0.0226456819,0.0,13.87283237,0.5780346821,3.468208092,0.0,2.89017341,36018,1.73,4.778901733764,0.13391076866925003,0.028
강북구 번1동,14595.454545454544,0.056570700099999996,0.1933496229,0.024267649130000003,0.0,43.93939394,0.0,4.545454545,1.515151515,6.0606060610000005,18826,0.66,10.934469696889751,0.133908450662225,0.012
강북구 수유1동,3202.994011976048,0.06852268916,0.21203699269999998,0.01248308376,0.0,13.17365269,0.0,2.395209581,0.0,1.19760479,20869,1.67,3.7389221549407505,0.14772184002454997,0.04
강북구 미아동,7337.63440860215,0.051168667089999995,0.2016063532,0.02534700356,0.0,32.25806452,0.0,3.225806452,1.075268817,4.301075269,22162,0.93,7.936827957878,0.13708980576755,0.017
강북구 우이동,413.6186770428016,0.05028444702,0.2326680166,0.01499693657,0.0,1.750972763,0.0,0.19455252920000002,0.0,0.09727626459,20742,10.28,0.41571011679909003,0.15411446896727501,0.371
강북구 인수동,1755.7926829268295,0.0642216736,0.2264163202,0.02304249854,0.0,8.231707317,0.0,1.219512195,0.30487804879999997,0.30487804879999997,30784,3.28,2.09618902431355,0.15568143433954998,0.074
도봉구 쌍문1동,3089.5161290322585,0.05345520011,0.21137423260000002,0.009028654466,0.0,16.12903226,0.0,2.419354839,0.0,0.8064516129000001,21663,1.24,4.16391129080315,0.142133934721425,0.034
도봉구 방학2동,3931.081081081081,0.1120767608,0.2169697579,0.009466931664,0.0,24.32432432,0.0,2.702702703,0.0,0.0,19906,0.74,5.51689189134725,0.16450606678895002,0.03
도봉구 방학3동,1209.5419847328246,0.01474947846,0.18387439149999998,0.0064093806790000004,0.0,4.580152672,0.0,0.7633587786,0.0,1.145038168,27323,2.62,1.40019083973195,0.1131967319236625,0.081
도봉구 창1동,4497.727272727273,0.023876179810000002,0.1823708207,0.013113160390000001,0.0,17.04545455,1.136363636,4.545454545,0.0,2.272727273,25004,0.88,5.7869318187267496,0.115867646312925,0.02
도봉구 창2동,4217.142857142857,0.03756538279,0.17784117929999999,0.01084469522,0.0,18.095238100000003,0.0,2.857142857,0.0,0.0,29442,1.05,4.578809524512751,0.11746151189795,0.026
도봉구 창3동,3238.805970149253,0.08077279532000001,0.2076709204,0.008504495794,0.0,20.89552239,0.0,1.4925373130000001,0.0,0.0,14027,0.67,4.27425373141975,0.148794296675575,0.035
도봉구 도봉1동,661.2385321100918,0.06828235294,0.2682352941,0.01524302079,0.1146788991,2.637614679,0.0,0.1146788991,0.0,0.2293577982,21250,8.72,0.5515481651721,0.180845529014275,0.328
노원구 월계1동,5793.9655172413795,0.03905203963,0.1878960993,0.042444057769999995,0.0,28.44827586,0.0,6.896551724,0.0,1.724137931,22406,1.16,8.876293103024,0.126606830174075,0.014
노원구 월계2동,1677.8350515463917,0.1137524994,0.216655558,0.006393638295,0.5154639175,9.278350515,0.0,3.608247423,0.0,0.0,27006,1.94,3.592525773296625,0.16459749042281252,0.046
노원구 하계1동,5116.774193548386,0.1058707124,0.1638815597,0.01569583639,0.6451612903,14.19354839,0.0,3.870967742,0.6451612903,1.935483871,27288,1.55,4.928870968259975,0.13189790197817503,0.027
노원구 중계4동,2307.6470588235293,0.08969456171,0.19930469329999997,0.007014044162,0.0,7.647058824,0.0,3.529411765,0.0,1.764705882,20135,1.7,3.5741176472337495,0.14665666404037497,0.041
노원구 상계1동,1693.594306049822,0.04481880102,0.1817189206,0.007624778051,0.3558718861,4.804270463,0.0,1.2455516009999998,0.0,0.3558718861,38466,5.62,1.586343416187175,0.1218114253428625,0.077
노원구 상계5동,11218.181818181818,0.07422697436,0.20666308879999998,0.006430149205,0.0,40.90909091,0.0,9.090909091,0.0,4.545454545,24223,0.44,12.69545454556825,0.14589430630363748,0.011
노원구 상계9동,3111.111111111111,0.022124746940000002,0.1661525113,0.006367203919,0.0,12.34567901,0.0,4.938271605,0.0,4.938271605,20746,0.81,5.74320987620375,0.10519612097586252,0.018
노원구 상계3.4동,673.8434163701068,0.09301710789999999,0.2308621927,0.0059465999769999995,0.1779359431,3.7366548039999996,0.0,0.7117437722,0.0,0.0,26479,5.62,1.028603202782225,0.1661515635840375,0.162
은평구 녹번동,5324.581005586591,0.04200301367,0.1881659671,0.01539046355,0.0,17.87709497,0.0,0.5586592179,0.0,2.234636872,37164,1.79,3.6808659215544255,0.125356984707525,0.034
은평구 불광1동,2247.284345047924,0.043594214789999995,0.1973792184,0.01021934055,0.0,5.111821086,0.0,2.555910543,0.0,2.236421725,38996,3.13,2.70127795510925,0.130825223696475,0.048
은평구 갈현1동,5031.9587628865975,0.08050527065,0.1949917716,0.0184979201,0.0,19.58762887,0.0,2.06185567,1.030927835,3.092783505,22483,0.97,4.969072165522499,0.14214545501339998,0.029
은평구 구산동,3992.0289855072465,0.04508146515,0.18994242309999998,0.01049439885,0.0,15.94202899,0.0,2.173913043,0.0,1.4492753619999998,32652,1.38,4.11829710185925,0.126970967221275,0.031
은평구 신사1동,4840.476190476191,0.03656353874,0.17960331670000002,0.009676459864,0.0,21.42857143,0.0,1.19047619,0.0,1.19047619,27377,0.84,4.4199404760675005,0.11806718557315002,0.027
은평구 신사2동,3716.0,0.0565458796,0.18902201440000002,0.01018892988,0.0,12.0,0.0,3.0,0.0,0.0,20532,1.0,3.65625,0.1301303536801,0.036
은평구 증산동,4467.901234567901,0.04217462932,0.2063920923,0.014939223230000001,0.0,18.51851852,0.0,0.0,0.0,2.469135802,15175,0.81,3.5179012347220002,0.136062898695575,0.039
은평구 불광2동,2857.246376811594,0.07530485631,0.2131498253,0.01318578095,0.7246376812,21.73913043,0.0,2.173913043,0.0,0.7246376812,28046,1.38,4.99384057866635,0.150640206672325,0.03
은평구 역촌동,6705.172413793104,0.047844191900000006,0.18172551399999998,0.012304566090000002,0.0,36.20689655,0.0,3.448275862,0.0,4.310344828,46108,1.16,8.712931034239501,0.123208025861375,0.014
서대문구 천연동,3163.917525773196,0.04098172204,0.1843890102,0.03489554666,0.0,10.30927835,0.0,3.092783505,0.0,2.06185567,17398,0.97,3.82396907197375,0.12451657447805001,0.033
서대문구 홍제3동,3511.428571428571,0.04209241051,0.2346892873,0.02248691949,0.0,12.38095238,0.0,3.80952381,0.0,3.80952381,15561,1.05,4.9004761906775,0.153292905872575,0.031
서대문구 홍제2동,2097.5308641975307,0.03698363492,0.1963088458,0.01849979634,0.0,7.407407407000001,0.0,3.7037037039999996,0.0,0.0,13871,0.81,3.2953703704694997,0.12877355159045,0.039
서대문구 홍은1동,1682.2784810126584,0.031277226,0.1984230702,0.011914863940000001,0.0,9.493670886,0.0,2.53164557,0.0,0.6329113924,22956,1.58,3.1022151900729,0.12758277971705,0.041
서대문구 홍은2동,2628.155339805825,0.040093478419999995,0.1897319798,0.036045958089999997,0.0,14.0776699,0.4854368932,1.45631068,0.4854368932,0.9708737864,27386,2.06,3.3178398055624,0.12746220797207503,0.038
서대문구 연희동,3525.2459016393445,0.021380928530000003,0.1611083283,0.12630172679999999,0.3278688525,14.42622951,0.0,0.3278688525,0.0,2.9508196719999997,37931,3.05,3.1478688527570005,0.1124902374152,0.036
마포구 망원1동,4684.070796460177,0.03280680437,0.1639854192,0.030889855,0.0,23.89380531,0.0,3.5398230089999996,0.0,1.769911504,20575,1.13,6.25353982305575,0.10954252209355,0.018
마포구 망원2동,6723.880597014925,0.028059194819999998,0.16458919,0.024080783340000002,0.0,26.86567164,1.4925373130000001,1.4925373130000001,0.0,2.985074627,18853,0.67,5.82649253680175,0.10775786679374999,0.018
양천구 신월1동,7973.846153846153,0.08310515444,0.2027189316,0.02357778699,0.0,21.53846154,0.0,6.153846154,0.0,4.615384615,20817,0.65,7.8753846156505,0.14796688493802498,0.019
양천구 신월4동,8182.6923076923085,0.02063727918,0.1803423037,0.01266784207,0.0,32.69230769,0.0,1.9230769230000002,0.0,5.769230769,18171,0.52,7.558173076456251,0.11358631303467501,0.015
양천구 신월7동,4542.857142857143,0.052089552239999996,0.21791044780000002,0.01498438785,0.0,12.60504202,0.0,3.361344538,0.0,0.8403361345,20100,1.19,4.118907563663,0.146044716049575,0.035
양천구 신정7동,3683.4710743801647,0.05865931297,0.1692030096,0.016595636299999997,0.0,7.4380165289999995,0.0,4.132231405,0.0,2.4793388430000003,29373,1.21,4.014256198387249,0.11975396002190002,0.03
양천구 신정4동,15286.138613861383,0.04856630824,0.1748805257,0.03497423513,0.0,38.61386139,0.0,9.900990099,0.9900990099,8.910891089,33480,1.01,13.605940594668251,0.12141172407492501,0.009
강서구 화곡3동,7867.924528301886,0.028154038189999998,0.1873699783,0.0237155637,0.0,30.18867925,0.0,13.20754717,0.0,7.547169811,21631,0.53,13.8136792461035,0.12111766650845,0.009
강서구 화곡8동,7862.264150943396,0.04030640892,0.17714766980000002,0.03260870682,0.0,30.18867925,0.0,9.433962264,0.0,5.660377358,24934,0.53,11.337264151541,0.11984995308345,0.011
강서구 가양3동,14748.0,0.1450186677,0.241042772,0.01885496659,0.0,16.0,0.0,18.0,0.0,0.0,15267,0.5,12.725499999999998,0.190152462357125,0.015
강서구 방화2동,2186.8954758190325,0.06147784086,0.2024828404,0.04185873337,0.0,4.5241809669999995,0.0,1.248049922,0.0,0.1560062402,23602,6.41,1.4738689547111998,0.142399123343975,0.097
강서구 방화3동,1842.3529411764707,0.08822890886,0.2266510356,0.016345330209999998,0.39215686270000005,8.235294117999999,0.0,1.960784314,0.0,0.7843137255,23031,2.55,2.636666666876775,0.16303544415227503,0.062
구로구 고척2동,4095.098039215686,0.03809593717,0.19040628329999998,0.0230508819,0.0,28.43137255,0.0,8.823529412000001,0.0,4.901960784,27247,1.02,10.561029411998,0.12607141690195,0.012
구로구 개봉2동,4201.25,0.02291289287,0.2053897734,0.02315183923,0.0,20.0,0.0,11.25,0.0,5.0,31467,0.8,10.5534375,0.12993357821447502,0.012
구로구 개봉3동,9124.691358024693,0.03012398295,0.2064122433,0.029681972430000002,0.0,11.11111111,0.0,8.641975309,0.0,2.469135802,20648,0.81,7.14537037029875,0.133448247741825,0.019
구로구 수궁동,2321.722846441948,0.03249791145,0.1837510443,0.042131495570000004,0.0,8.61423221,0.0,1.498127341,0.0,0.37453183520000005,23940,2.67,2.3286516855339503,0.122018314565575,0.052
구로구 구로2동,15984.659090909092,0.03257993561,0.1884344416,0.2907468969,0.0,17.04545455,0.0,6.25,0.5681818182,7.3863636360000005,31369,1.76,7.719460227951,0.14654563255039998,0.019
구로구 개봉1동,4186.259541984733,0.04271631982,0.1842969966,0.04944414501,0.0,16.79389313,0.0,10.6870229,0.0,2.290076336,34694,1.31,9.192748091236,0.126299355135775,0.014
구로구 오류2동,2861.5625,0.03833693305,0.1806026946,0.06477531037,0.0,10.625,0.0,1.5625,0.0,0.9375,38892,3.2,2.8030468749999997,0.124050823281525,0.044
금천구 독산2동,5856.666666666668,0.08389642417000001,0.1731689273,0.1055153968,0.0,28.33333333,0.0,5.0,0.0,3.333333333,20275,0.6,8.101249999388,0.1380625109367,0.017
