자치구,행정동,인구 합계,면적(km^2),기초생활수급자 인원,65세 이상 인구 수,단장기 외국인 체류자 수,종사자수,신협 수,새마을금고 수,우체국,편의점 수,약국 24시간,ATM 수,응급실 수,은행 수,기초생활수급자 인원_비율,65세 이상 인구 수_비율,단장기 외국인 체류자 수_비율,새마을금고 수_비율,우체국_비율,편의점 수_비율,약국 24시간_비율,ATM 수_비율,응급실 수_비율,은행 수_비율
성동구,행당2동,"23,568",0.42,819,"3,796",254.5194417,2050,0,1,0,8,0,5,0,2,0.03475050916,0.161065852,0.01079936531,2.380952381,0,19.04761905,0,11.9047619,0,4.761904762
성동구,응봉동,"15,560",0.57,195,"2,545",127.07128,1028,0,0,0,5,0,3,0,0,0.01253213368,0.1635604113,0.008166534704,0,0,8.771929825,0,5.263157895,0,0
성동구,금호1가동,"15,442",0.46,765,"2,626",276.3123292,2100,1,1,0,8,0,4,0,0,0.049540215,0.1700556923,0.01789355843,2.173913043,0,17.39130435,0,8.695652174,0,0
성동구,금호4가동,"14,517",0.84,416,"2,382",380.06095,2026,1,1,0,7,0,5,0,3,0.02865605841,0.1640834883,0.02618040573,1.19047619,0,8.333333333,0,5.952380952,0,3.571428571
성동구,성수1가1동,"16,919",1.97,518,"2,287",740.3384542,10716,0,1,1,22,0,3,0,2,0.03061646669,0.1351734736,0.04375781395,0.5076142132,0.5076142132,11.16751269,0,1.52284264,0,1.015228426
성동구,성수1가2동,"13,003",0.89,269,"1,921",756.1874667,21512,0,1,0,30,0,4,0,5,0.02068753365,0.147735138,0.05815484632,1.123595506,0,33.70786517,0,4.494382022,0,5.617977528
성동구,성수2가1동,"16,460",1.17,782,"2,881",2021.673892,18394,0,1,0,23,0,7,0,3,0.047509113,0.1750303767,0.1228234442,0.8547008547,0,19.65811966,0,5.982905983,0,2.564102564
성동구,성수2가3동,"11,152",1.03,232,"1,911",1221.122163,53249,0,1,1,60,0,10,0,15,0.02080344333,0.1713593974,0.1094980419,0.9708737864,0.9708737864,58.25242718,0,9.708737864,0,14.5631068
성동구,송정동,"10,949",0.75,661,"1,793",1052.813492,2709,0,0,0,9,1,1,0,0,0.06037081012,0.1637592474,0.09615613225,0,0,12,1.333333333,1.333333333,0,0
성동구,용답동,"12,685",2.31,857,"2,179",2191.708008,13279,0,1,1,14,0,10,0,2,0.06756011037,0.1717776902,0.172779504,0.4329004329,0.4329004329,6.060606061,0,4.329004329,0,0.8658008658
성동구,왕십리도선동,"27,074",0.72,858,"3,745",1185.666612,10015,0,1,1,25,0,3,0,4,0.03169092118,0.1383245919,0.04379355145,1.388888889,1.388888889,34.72222222,0,4.166666667,0,5.555555556
성동구,금호2.3가동,"22,932",0.64,782,"3,857",405.9832542,2670,0,1,1,17,0,4,0,2,0.03410081982,0.1681929182,0.01770378747,1.5625,1.5625,26.5625,0,6.25,0,3.125
성동구,옥수동,"26,412",1.94,502,"4,035",936.0004333,4189,1,1,0,14,0,6,0,2,0.01900651219,0.1527714675,0.03543845348,0.5154639175,0,7.216494845,0,3.092783505,0,1.030927835
광진구,화양동,"25,626",1.16,589,"2,310",5405.336075,15023,0,1,1,61,0,11,1,5,0.0229844689,0.09014282369,0.2109317129,0.8620689655,0.8620689655,52.5862069,0,9.482758621,0.8620689655,4.310344828
광진구,군자동,"21,583",0.74,817,"3,019",2108.531542,10021,0,1,0,30,0,7,0,5,0.03785386647,0.1398786082,0.09769408989,1.351351351,0,40.54054054,0,9.459459459,0,6.756756757
광진구,중곡1동,"15,959",0.62,838,"2,512",566.0373917,6288,0,1,0,15,0,1,0,0,0.05250955574,0.1574033461,0.03546822431,1.612903226,0,24.19354839,0,1.612903226,0,0
광진구,중곡2동,"21,864",0.55,844,"3,267",605.5570417,6959,0,0,1,27,0,2,0,4,0.03860226857,0.1494237102,0.02769653502,0,1.818181818,49.09090909,0,3.636363636,0,7.272727273
광진구,중곡3동,"16,465",0.60,"1,105","2,851",374.2585875,4543,0,1,0,17,0,1,0,1,0.06711205588,0.1731551776,0.02273055497,1.666666667,0,28.33333333,0,1.666666667,0,1.666666667
광진구,중곡4동,"29,144",2.32,"1,426","5,089",568.7123667,4751,0,1,0,21,0,4,0,2,0.04892945375,0.1746157013,0.01951387478,0.4310344828,0,9.051724138,0,1.724137931,0,0.8620689655
광진구,능동,"11,661",1.10,315,"1,617",786.3798167,5723,0,1,0,17,0,0,0,0,0.02701312066,0.1386673527,0.06743673928,0.9090909091,0,15.45454545,0,0,0,0
광진구,구의1동,"22,251",0.56,897,"3,086",1244.626388,6989,0,1,1,28,0,4,0,4,0.04031279493,0.1386903959,0.05593575066,1.785714286,1.785714286,50,0,7.142857143,0,7.142857143
광진구,구의2동,"27,107",1.39,"1,055","4,308",579.3252375,5912,0,1,0,19,0,3,0,2,0.0389198362,0.1589257387,0.02137179465,0.7194244604,0,13.66906475,0,2.158273381,0,1.438848921
광진구,구의3동,"28,969",1.02,525,"4,091",588.9284958,16544,0,0,1,32,1,7,0,4,0.01812282095,0.1412199247,0.02032961082,0,0.9803921569,31.37254902,0.9803921569,6.862745098,0,3.921568627
광진구,광장동,"35,004",2.39,229,"3,767",549.3196917,16114,0,0,0,21,0,8,0,9,0.006542109473,0.1076162724,0.01569305484,0,0,8.786610879,0,3.347280335,0,3.765690377
광진구,자양1동,"23,233",0.57,"1,171","3,468",1625.265008,8987,0,1,0,21,0,4,1,3,0.0504024448,0.1492704343,0.06995502122,1.754385965,0,36.84210526,0,7.01754386,1.754385965,5.263157895
광진구,자양2동,"25,175",1.68,765,"3,975",781.9283042,6095,0,1,2,22,0,1,0,1,0.03038728898,0.1578947368,0.03105971417,0.5952380952,1.19047619,13.0952381,0,0.5952380952,0,0.5952380952
광진구,자양3동,"28,430",1.20,344,"4,226",968.5447958,6185,0,0,0,25,1,4,0,6,0.01209989448,0.1486457967,0.03406770298,0,0,20.83333333,0.8333333333,3.333333333,0,5
광진구,자양4동,"20,909",1.16,875,"3,692",6449.178775,6171,0,1,0,29,0,6,0,2,0.04184800803,0.1765746808,0.3084403259,0.8620689655,0,25,0,5.172413793,0,1.724137931
동대문구,회기동,"12,679",0.76,297,"1,528",4271.764871,10615,0,2,0,21,0,7,1,5,0.0234245603,0.1205142361,0.3369165448,2.631578947,0,27.63157895,0,9.210526316,1.315789474,6.578947368
동대문구,휘경1동,"15,596",0.63,359,"2,095",3061.517292,3558,0,1,0,16,0,3,0,1,0.02301872275,0.1343293152,0.1963014422,1.587301587,0,25.3968254,0,4.761904762,0,1.587301587
동대문구,휘경2동,"24,966",1.05,621,"3,987",1314.651808,4930,0,0,0,17,0,7,1,1,0.02487382841,0.1596971882,0.05265768677,0,0,16.19047619,0,6.666666667,0.9523809524,0.9523809524
동대문구,청량리동,"19,397",1.20,"1,692","5,198",1180.294942,8267,1,0,0,17,0,10,1,4,0.08722998402,0.2679795845,0.06084935516,0,0,14.16666667,0,8.333333333,0.8333333333,3.333333333
동대문구,용신동,"32,379",1.61,"1,551","5,671",2449.417496,28569,1,1,7,49,0,17,0,7,0.04790141759,0.1751443837,0.07564833676,0.6211180124,4.347826087,30.43478261,0,10.55900621,0,4.347826087
동대문구,제기동,"26,630",1.18,"1,451","5,763",4145.490163,13499,1,3,0,30,0,8,0,5,0.0544874202,0.2164100638,0.1556699273,2.542372881,0,25.42372881,0,6.779661017,0,4.237288136
동대문구,전농1동,"29,911",1.19,"1,750","5,603",1363.118012,7802,0,1,1,29,0,2,0,2,0.05850690381,0.1873223898,0.04557246538,0.8403361345,0.8403361345,24.3697479,0,1.680672269,0,1.680672269
동대문구,전농2동,"19,062",0.86,738,"3,646",394.2377248,4853,1,1,0,17,0,8,0,2,0.03871576959,0.1912705907,0.02068186574,1.162790698,0,19.76744186,0,9.302325581,0,2.325581395
동대문구,답십리2동,"28,792",0.85,"1,211","5,521",485.8499583,7544,0,1,0,17,0,5,0,2,0.04206029453,0.1917546541,0.01687447757,1.176470588,0,20,0,5.882352941,0,2.352941176
동대문구,장안1동,"38,793",1.25,"1,506","6,435",985.3717,20501,0,1,1,57,0,6,0,10,0.03882143686,0.1658804423,0.02540076045,0.8,0.8,45.6,0,4.8,0,8
동대문구,장안2동,"32,861",1.09,"1,230","5,176",677.2797042,11503,0,1,0,37,1,5,0,2,0.03743038861,0.1575119443,0.02061044108,0.9174311927,0,33.94495413,0.9174311927,4.587155963,0,1.834862385
동대문구,이문1동,"20,627",1.04,695,"3,129",4707.295971,6425,1,1,1,30,0,6,0,2,0.03369370243,0.1516943812,0.2282104024,0.9615384615,0.9615384615,28.84615385,0,5.769230769,0,1.923076923
동대문구,이문2동,"20,487",0.69,934,"3,959",313.9412208,2293,0,0,0,12,0,4,0,0,0.04558988627,0.1932444965,0.0153239235,0,0,17.39130435,0,5.797101449,0,0
동대문구,답십리1동,"29,446",0.81,812,"4,048",686.4124292,8041,0,0,0,31,0,6,0,5,0.02757590165,0.1374719826,0.02331088872,0,0,38.27160494,0,7.407407407,0,6.172839506
중랑구,면목2동,"24,534",0.77,"1,608","4,520",390.844125,6306,0,1,0,22,0,1,0,0,0.06554169724,0.1842341241,0.0159307135,1.298701299,0,28.57142857,0,1.298701299,0,0
중랑구,면목4동,"19,415",0.87,"1,609","3,783",414.4915875,3839,0,0,0,15,0,1,0,0,0.08287406644,0.1948493433,0.02134903876,0,0,17.24137931,0,1.149425287,0,0
중랑구,면목5동,"14,868",0.70,726,"2,201",220.3564542,3050,0,0,1,8,0,2,0,1,0.04882970137,0.1480360506,0.01482085379,0,1.428571429,11.42857143,0,2.857142857,0,1.428571429
중랑구,면목7동,"22,124",1.20,"1,067","4,258",457.3598375,4335,0,1,0,18,0,3,0,2,0.0482281685,0.1924606762,0.02067256543,0.8333333333,0,15,0,2.5,0,1.666666667
중랑구,상봉1동,"24,428",0.88,"1,590","3,734",266.0569958,6638,0,1,1,18,0,3,0,1,0.06508924185,0.1528573768,0.01089147682,1.136363636,1.136363636,20.45454545,0,3.409090909,0,1.136363636
중랑구,상봉2동,"20,670",0.65,"1,026","3,044",725.5250333,9306,2,0,0,33,0,4,0,3,0.0496371553,0.1472665699,0.03510038865,0,0,50.76923077,0,6.153846154,0,4.615384615
중랑구,중화1동,"19,967",0.64,986,"3,637",219.6932417,3590,1,1,1,19,0,1,0,2,0.04938147944,0.1821505484,0.01100281673,1.5625,1.5625,29.6875,0,1.5625,0,3.125
중랑구,중화2동,"25,530",1.01,"2,371","5,017",789.0782917,6771,1,1,0,20,0,5,0,3,0.092871132,0.1965139052,0.03090788452,0.9900990099,0,19.8019802,0,4.95049505,0,2.97029703
중랑구,묵1동,"34,864",1.20,"1,110","5,898",265.5842708,5736,0,1,0,22,0,6,0,2,0.03183799908,0.1691716384,0.007617722315,0.8333333333,0,18.33333333,0,5,0,1.666666667
중랑구,묵2동,"19,178",0.67,967,"3,566",382.7836125,4688,1,0,1,17,0,3,0,3,0.05042235895,0.1859422255,0.01995951676,0,1.492537313,25.37313433,0,4.47761194,0,4.47761194
중랑구,망우3동,"16,803",0.92,"1,759","3,347",250.5015399,3746,0,0,0,12,0,2,0,1,0.1046836874,0.1991906207,0.01490814378,0,0,13.04347826,0,2.173913043,0,1.086956522
중랑구,신내1동,"38,665",2.56,"1,843","6,721",385.7950917,11518,0,1,0,22,0,5,1,2,0.04766584767,0.173826458,0.00997788935,0.390625,0,8.59375,0,1.953125,0.390625,0.78125
중랑구,신내2동,"20,710",0.93,"1,351","4,046",153.4685417,6468,0,0,1,10,0,7,0,3,0.06523418638,0.1953645582,0.007410359329,0,1.075268817,10.75268817,0,7.52688172,0,3.225806452
중랑구,면목본동,"34,497",0.84,"2,314","6,056",1036.921117,7681,1,1,0,29,1,3,0,2,0.06707829666,0.1755514972,0.03005829832,1.19047619,0,34.52380952,1.19047619,3.571428571,0,2.380952381
중랑구,면목3.8동,"25,346",1.63,"1,782","4,989",435.7246458,7671,1,2,1,21,0,7,1,1,0.07030695179,0.1968357926,0.01719106154,1.226993865,0.6134969325,12.88343558,0,4.294478528,0.6134969325,0.6134969325
중랑구,망우본동,"31,550",3.03,"2,181","6,091",701.5083208,12002,2,1,1,33,0,10,1,4,0.06912836767,0.1930586371,0.02223481207,0.3300330033,0.3300330033,10.89108911,0,3.300330033,0.3300330033,1.320132013
성북구,돈암1동,"14,859",0.49,559,"2,869",221.1502935,2116,0,0,0,8,0,3,0,0,0.03762029746,0.193081634,0.0148832555,0,0,16.32653061,0,6.12244898,0,0
성북구,돈암2동,"24,134",0.48,365,"3,504",273.203325,2477,0,1,0,5,0,4,0,1,0.01512389161,0.1451893594,0.01132026705,2.083333333,0,10.41666667,0,8.333333333,0,2.083333333
성북구,안암동,"16,386",1.33,415,"2,102",2443.437042,13406,1,1,1,39,0,11,1,5,0.02532649823,0.1282802392,0.1491173588,0.7518796992,0.7518796992,29.32330827,0,8.270676692,0.7518796992,3.759398496
성북구,보문동,"15,736",0.56,449,"2,404",811.2769458,5461,0,0,0,16,0,3,0,4,0.02853329944,0.1527707168,0.05155547444,0,0,28.57142857,0,5.357142857,0,7.142857143
성북구,정릉1동,"18,504",0.44,392,"3,079",330.8430625,1976,1,1,0,16,0,0,0,0,0.02118460873,0.1663964548,0.01787954294,2.272727273,0,36.36363636,0,0,0,0
성북구,정릉2동,"23,298",1.17,721,"4,422",403.3546583,2961,0,1,1,20,0,1,0,3,0.03094686239,0.1898016997,0.01731284481,0.8547008547,0.8547008547,17.09401709,0,0.8547008547,0,2.564102564
성북구,정릉3동,"16,222",3.71,728,"3,259",1959.549596,4764,1,0,0,14,0,16,0,1,0.04487732709,0.2009000123,0.1207958079,0,0,3.773584906,0,4.312668464,0,0.269541779
성북구,정릉4동,"25,403",3.13,792,"4,813",567.0970875,4131,0,0,0,17,0,5,0,3,0.03117741999,0.1894658111,0.02232402029,0,0,5.431309904,0,1.597444089,0,0.9584664537
성북구,길음1동,"35,744",0.79,545,"4,559",344.1603417,3921,0,2,0,10,0,6,0,4,0.01524731423,0.1275458818,0.009628478673,2.53164557,0,12.65822785,0,7.594936709,0,5.063291139
성북구,길음2동,"16,742",0.58,458,"2,531",304.4866625,4816,0,0,0,8,0,9,0,0,0.0273563493,0.1511766814,0.01818699453,0,0,13.79310345,0,15.51724138,0,0
성북구,월곡1동,"26,680",0.81,946,"4,683",533.6931833,5403,1,0,1,14,0,3,0,3,0.03545727136,0.1755247376,0.02000349263,0,1.234567901,17.28395062,0,3.703703704,0,3.703703704
성북구,월곡2동,"20,028",1.36,701,"3,626",721.2120583,8951,1,1,1,25,0,10,0,4,0.0350009986,0.1810465349,0.03601018865,0.7352941176,0.7352941176,18.38235294,0,7.352941176,0,2.941176471
성북구,장위1동,"24,581",0.70,"1,862","4,050",341.7317625,2263,1,1,0,15,0,1,0,1,0.07574956267,0.1647614011,0.01390227259,1.428571429,0,21.42857143,0,1.428571429,0,1.428571429
성북구,장위2동,"13,995",0.67,957,"3,105",258.9339458,3218,0,1,1,9,0,2,0,2,0.06838156484,0.2218649518,0.01850188966,1.492537313,1.492537313,13.43283582,0,2.985074627,0,2.985074627
성북구,장위3동,"16,180",0.65,621,"2,124",177.2864,2331,0,1,0,9,0,2,0,0,0.03838071693,0.1312731768,0.01095713226,1.538461538,0,13.84615385,0,3.076923077,0,0
성북구,성북동,"17,134",2.86,404,"3,080",826.4681125,5315,0,1,0,16,0,2,0,4,0.02357884907,0.1797595424,0.0482355616,0.3496503497,0,5.594405594,0,0.6993006993,0,1.398601399
성북구,삼선동,"23,533",0.92,777,"3,936",1062.833617,8921,0,2,3,31,1,10,0,6,0.03301746484,0.1672544937,0.04516354128,2.173913043,3.260869565,33.69565217,1.086956522,10.86956522,0,6.52173913
성북구,동선동,"16,111",0.73,434,"2,263",1413.662237,9961,0,0,0,36,0,5,0,4,0.02693811681,0.1404630377,0.08774515778,0,0,49.31506849,0,6.849315068,0,5.479452055
성북구,종암동,"40,429",1.46,"1,307","6,717",2637.1065,8629,0,2,1,29,0,10,0,2,0.03232827921,0.1661431151,0.06522809122,1.369863014,0.6849315068,19.8630137,0,6.849315068,0,1.369863014
성북구,석관동,"36,018",1.73,"1,792","7,109",815.6521708,9984,1,1,0,24,1,6,0,3,0.04975290133,0.1973735355,0.0226456819,0.5780346821,0,13.87283237,0.5780346821,3.468208092,0,1.734104046
강북구,번1동,"18,826",0.66,"1,065","3,640",456.8627625,9633,1,0,0,29,0,3,1,3,0.0565707001,0.1933496229,0.02426764913,0,0,43.93939394,0,4.545454545,1.515151515,4.545454545
강북구,번2동,"16,020",0.95,"1,713","3,971",157.9059875,3657,0,0,1,11,0,3,0,0,0.106928839,0.2478776529,0.009856803215,0,1.052631579,11.57894737,0,3.157894737,0,0
