,arsid,stid,stnm,x,y
19468,13230,112000147,명지대사거리제일은행앞,126.9221478324,37.5774643652
19469,13196,112000113,명지대삼거리,126.9259970375,37.580819679099996
19470,13197,112000114,명지대삼거리,126.926363438,37.5812704533
19471,47945,228002958,명지대앞,127.1883611248,37.2256757893
19472,47946,228002959,명지대앞,127.18863109620001,37.2257958173
19473,0,228000748,명지대입구,127.1899630836,37.236077848899996
19474,0,228000776,명지대입구,127.19005572280001,37.2357472201
19475,13217,112000134,명지대입구.서울무용센터,126.9272548686,37.580905163400004
19476,13258,112000175,명지대입구.신원지벤스타,126.9280443741,37.5805560243
19477,0,277100512,명지대출발1(경유),127.1880852628,37.2256746633
19478,78025,277102409,명지대출발2(경유),127.1877431269,37.2273828956
19479,13964,112900247,명지대학교교회,126.9253074098,37.5827153049
19480,13965,112900248,명지대후문(세븐일레븐),126.92496945149999,37.5817417829
19481,13206,112000123,홍연시장,126.9305657356,37.5770270617
19482,13207,112000124,연희홍연아파트,126.93235483209999,37.577997674
19483,13208,112000125,서대문구청,126.934871913,37.5790506621
19484,13156,112000073,서대문구청.보건소.구의회,126.9360659508,37.5782448388
19485,13157,112000074,서대문구청.서대문구의회,126.93584258950001,37.5786159669
19486,13010,112000010,서대문우체국,126.9320446385,37.5617697328
19487,13011,112000011,서대문우체국,126.93146211850001,37.5625326219
19488,13112,112000029,서대문우체국,126.93038282010001,37.5631140964
19489,13113,112000030,서대문우체국,126.93116285020001,37.5630010161
19490,13140,112000057,이대역,126.94690145969999,37.5569763226
19491,13025,113000411,이대역,126.94727052209998,37.5568755655
19492,14064,113000418,이대역,126.9445938349,37.556613022600004
19493,13118,112000035,이대부중,126.9429924976,37.5622161608
19494,13119,112000036,이대부중,126.94416300489999,37.5636440514
19495,23469,122000352,강남세브란스병원,127.0473231493,37.4933990531
19496,23738,122900041,강남세브란스병원,127.04603546860001,37.4941024226
19497,23330,122000226,도곡렉슬아파트.강남세브란스병원,127.04818670430001,37.4944367753
